date,cno_price,cpo_price_lag1,cpo_price_lag2,cpo_price_lag3,cpo_price_lag4,usd_php_lag1,usd_php_lag2,usd_php_lag3,usd_php_lag4,oni_lag1,copra_farmgate_lag1,copra_farmgate_lag2,copra_farmgate_lag3,copra_farmgate_lag4,coconut_prod_lag1,coconut_prod_lag2,coconut_prod_lag3,coconut_prod_lag4,coconut_prod_lag5,coconut_prod_lag6,scfm,scfm_lag1,scfm_mean6,scfm_dev,target_next_cno_log_return,target_next_cno_direction
2018-05-01,1644.05,622.5,620.125,637.8125,637.4375,51.8694,52.0865,51.897,50.892,-0.39,23.73,24.4,27.69,31.48,3250790.75,3216923.87,3216923.87,3216923.87,3834414.19,3834414.19,1143.5771895825542,975.7161616703228,718.4848140484983,425.0923755340559,0.11531656769568308,1
2018-06-01,1845.0,609.1875,622.5,620.125,637.8125,52.44,51.8694,52.0865,51.897,-0.13,24.71,23.73,24.4,27.69,3250790.75,3250790.75,3216923.87,3216923.87,3216923.87,3834414.19,896.1052589202474,1143.5771895825542,798.0029331095111,98.10232581073626,-0.14188207444654383,0
2018-07-01,1600.95,588.25,609.1875,622.5,620.125,53.18325,52.44,51.8694,52.0865,0.06,19.78,24.71,23.73,24.4,3250790.75,3250790.75,3250790.75,3216923.87,3216923.87,3216923.87,1254.6482370516019,896.1052589202474,826.5345889981759,428.113648053426,-0.07533732494164536,0
2018-08-01,1484.77,547.85,588.25,609.1875,622.5,53.274800000000006,53.18325,52.44,51.8694,0.14,19.65,19.78,24.71,23.73,3930523.0,3250790.75,3250790.75,3250790.75,3216923.87,3216923.87,1015.486024715697,1254.6482370516019,928.898718744932,86.58730597076499,0.04577827284841917,1
2018-10-01,1554.32,538.05,544.5625,547.85,588.25,54.019600000000004,53.32625,53.274800000000006,53.18325,0.53,19.51,19.76,19.65,19.78,3930523.0,3930523.0,3930523.0,3250790.75,3250790.75,3250790.75,911.4918941226153,1015.486024715697,1004.7228720436993,-93.23097792108399,-0.06901952566598349,0
2018-11-01,1450.66,526.0,538.05,544.5625,547.85,53.5835,54.019600000000004,53.32625,53.274800000000006,0.81,17.34,19.51,19.76,19.65,3954103.0,3930523.0,3930523.0,3930523.0,3250790.75,3250790.75,1040.6579674002346,911.4918941226153,1032.8374610105063,7.82050638972828,-0.03994174840794554,0
2018-12-01,1393.86,487.75,526.0,538.05,544.5625,52.58075,53.5835,54.019600000000004,53.32625,0.97,15.09,17.34,19.51,19.76,3954103.0,3954103.0,3930523.0,3930523.0,3930523.0,3250790.75,995.1248288131884,1040.6579674002346,1043.661095298825,-48.5362664856367,-0.11354393812226476,0
2019-01-01,1244.25,498.75,487.75,526.0,538.05,52.713,52.58075,53.5835,54.019600000000004,0.92,15.84,15.09,17.34,19.51,3954103.0,3954103.0,3954103.0,3930523.0,3930523.0,3930523.0,916.8835967814932,995.1248288131884,1018.9190351705975,-102.03543838910423,-0.10642821647247157,0
2019-02-01,1118.63,540.375,498.75,487.75,526.0,52.37075,52.713,52.58075,53.5835,0.89,16.15,15.84,15.09,17.34,3216194.33,3954103.0,3954103.0,3954103.0,3930523.0,3930523.0,754.7607214443055,916.8835967814932,1022.3820914808051,-267.62137003649957,0.01115661338035484,1
2019-03-01,1131.18,552.875,540.375,498.75,487.75,52.082499999999996,52.37075,52.713,52.58075,0.86,14.29,16.15,15.84,15.09,3216194.33,3216194.33,3954103.0,3954103.0,3954103.0,3930523.0,683.1182699075566,754.7607214443055,939.0675055462556,-255.94923563869895,-0.09588938886855906,0
2019-04-01,1027.75,524.75,552.875,540.375,498.75,52.452,52.082499999999996,52.37075,52.713,0.84,13.61,14.29,16.15,15.84,3216194.33,3216194.33,3216194.33,3954103.0,3954103.0,3954103.0,719.3143971025967,683.1182699075566,883.672879744899,-164.3584826423023,-0.0986638876900911,0
2019-05-01,931.19,517.3125,524.75,552.875,540.375,51.795,52.452,52.082499999999996,52.37075,0.77,13.53,13.61,14.29,16.15,3226544.1,3216194.33,3216194.33,3216194.33,3954103.0,3954103.0,613.1117052574481,719.3143971025967,851.6432969082292,-238.53159165078114,-0.01617408488703539,0
2019-06-01,916.25,486.875,517.3125,524.75,552.875,52.2545,51.795,52.452,52.082499999999996,0.64,13.64,13.53,13.61,14.29,3226544.1,3226544.1,3216194.33,3216194.33,3216194.33,3954103.0,516.8564277565827,613.1117052574481,780.3855865510981,-263.5291587945154,-0.0011247796672511081,0
2019-07-01,915.22,482.25,486.875,517.3125,524.75,51.58579999999999,52.2545,51.795,52.452,0.52,13.53,13.64,13.53,13.61,3226544.1,3226544.1,3226544.1,3216194.33,3216194.33,3216194.33,499.93018958336444,516.8564277565827,700.6741863749971,-200.7439967916327,-0.019963694439562852,0
